192,62311
192.1,62120
192.2,62712
192.3,62117
192.4,62435
192.5,62705
192.6,62469
192.7,62451
192.8,62123
192.9,62000
193,61782
193.1,61805
193.2,61431
193.3,61501
193.4,61604
193.5,61948
193.6,62361
193.7,62254
193.8,61923
193.9,62192
194,61816
194.1,61924
194.2,61530
194.3,61637
194.4,61484
194.5,61212
194.6,61562
194.7,61465
194.8,61477
194.9,61741
195,62045
195.1,61558
195.2,61770
195.3,61917
195.4,61581
195.5,61622
195.6,61288
195.7,61520
195.8,61053
195.9,61236
196,61300
196.1,62223
196.2,62002
196.3,62235
196.4,62101
196.5,61595
196.6,62183
196.7,61980
196.8,61729
196.9,61687
197,61670
197.1,62405
197.2,62134
197.3,62649
197.4,62982
197.5,63276
197.6,64003
197.7,64585
197.8,65030
197.9,65360
198,66209
198.1,66603
198.2,67423
198.3,69038
198.4,69224
198.5,71218
198.6,72441
198.7,74591
198.8,75550
198.9,77264
199,77794
199.1,80958
199.2,83124
199.3,86524
199.4,89838
199.5,93675
199.6,98255
199.7,101403
199.8,105724
199.9,109372
200,109866
200.1,110670
200.2,109306
200.3,106723
200.4,102029
200.5,98231
200.6,93226
200.7,88017
200.8,83290
200.9,80293
201,76085
201.1,73231
201.2,70862
201.3,68870
201.4,66920
201.5,65327
201.6,64331
201.7,63027
201.8,63340
201.9,62579
202,61949
202.1,61936
202.2,61991
202.3,61790
202.4,62075
202.5,62001
202.6,61470
202.7,61680
202.8,61882
202.9,61550
203,61737
203.1,61013
203.2,61308
203.3,61089
203.4,61560
203.5,61619
203.6,61642
203.7,61723
203.8,61904
203.9,61693
204,61520
204.1,61448
204.2,61542
204.3,61042
204.4,60764
204.5,60825
204.6,60904
204.7,60452
204.8,60916
204.9,61422
205,61142

