192,67054
192.1,67581
192.2,66988
192.3,67312
192.4,67155
192.5,66863
192.6,66964
192.7,66962
192.8,66677
192.9,66819
193,66775
193.1,66541
193.2,66765
193.3,66410
193.4,66056
193.5,66397
193.6,65972
193.7,65879
193.8,66803
193.9,66111
194,65458
194.1,66118
194.2,66034
194.3,66079
194.4,65956
194.5,66178
194.6,65717
194.7,65979
194.8,66665
194.9,66111
195,65965
195.1,65532
195.2,66088
195.3,65890
195.4,65681
195.5,66130
195.6,66141
195.7,65612
195.8,65850
195.9,66118
196,65703
196.1,65763
196.2,66111
196.3,66272
196.4,65983
196.5,66781
196.6,67455
196.7,67529
196.8,68206
196.9,68568
197,69690
197.1,70226
197.2,71183
197.3,72762
197.4,74025
197.5,75673
197.6,78670
197.7,81699
197.8,85553
197.9,89210
198,93588
198.1,98890
198.2,104963
198.3,110204
198.4,115880
198.5,121379
198.6,127597
198.7,132009
198.8,136944
198.9,140153
199,142767
199.1,144129
199.2,146417
199.3,145732
199.4,145464
199.5,145202
199.6,144782
199.7,143039
199.8,140811
199.9,137604
200,134449
200.1,130623
200.2,125521
200.3,120688
200.4,114537
200.5,108469
200.6,101865
200.7,95809
200.8,90253
200.9,85428
201,81202
201.1,77591
201.2,74529
201.3,72444
201.4,69471
201.5,68359
201.6,67756
201.7,67012
201.8,66805
201.9,66199
202,66003
202.1,65736
202.2,65130
202.3,64823
202.4,65310
202.5,65013
202.6,64902
202.7,64693
202.8,65136
202.9,64844
203,64445
203.1,64359
203.2,64211
203.3,64063
203.4,64385
203.5,64383
203.6,64352
203.7,64572
203.8,64386
203.9,64126
204,64404
204.1,64559
204.2,64474
204.3,64390
204.4,64518
204.5,64325
204.6,64749
204.7,64513
204.8,64860
204.9,64584
205,64349

