BE,Int
90.95,350
90.9,291.6667
90.85,275
90.8,333.3333
90.75,450
90.7,304.1667
90.65,333.3333
90.6,337.5
90.55,420.8333
90.5,383.3333
90.45,354.1667
90.4,362.5
90.35,416.6667
90.3,320.8333
90.25,387.5
90.2,341.6667
90.15,333.3333
90.1,416.6667
90.05,362.5
90,425
