BE,int
277.9,1829.1667
277.85,1716.6667
277.8,1933.3334
277.75,1854.1667
277.7,1829.1667
277.65,1933.3334
277.6,1995.8334
277.55,1995.8334
277.5,1991.6667
277.45,1804.1667
277.4,1958.3334
277.35,1962.5
277.3,1879.1667
277.25,1845.8334
277.2,1979.1667
277.15,1841.6667
277.1,1866.6667
277.05,2025
277,1804.1667
276.95,1845.8334
276.9,1845.8334
276.85,1879.1667
276.8,1958.3334
276.75,1750
276.7,1912.5
276.65,1966.6667
276.6,2016.6667
276.55,1920.8334
276.5,1904.1667
276.45,1704.1667
276.4,1870.8334
276.35,1941.6667
276.3,1858.3334
276.25,1895.8334
276.2,1833.3334
276.15,1895.8334
276.1,1712.5
276.05,2041.6667
276,1945.8334
275.95,1783.3334
275.9,1779.1667
275.85,1875
275.8,1970.8334
275.75,1858.3334
275.7,1895.8334
275.65,1933.3334
275.6,1762.5
275.55,1791.6667
275.5,1770.8334
275.45,1962.5
275.4,1925
275.35,1958.3334
275.3,1895.8334
275.25,1862.5
275.2,1833.3334
275.15,1833.3334
275.1,1825
275.05,1825
275,1854.1667
